age,common_name,scientific_name,city,state,longitude_coordinate,latitude_coordinate,condition,no_of_trees_planted
73,Lombardy poplar grove,Populus nigra,Seattle,Washington,-122.3132833,47.64175942,good,8
73,Lombardy poplar grove,Populus nigra,Seattle,Washington,-122.3131703,47.64161265,good,3
73,Lombardy poplar grove,Populus nigra,Seattle,Washington,-122.3133976,47.64187777,good,8
73,Tulip tree,Liriodendron tulipifera,Seattle,Washington,-122.2928252,47.55756656,good,8
73,Ash,Fraxinus,Seattle,Washington,-122.2876607,47.62911732,good,7
