WKT,name
"POLYGON ((73.8664731753326 18.4228613905203,73.8675337941343 18.4045608482882,73.8875897527001 18.4011028567582,73.904921104295 18.4020995193765,73.9184359002886 18.410138003945,73.9251296645188 18.4239294761772,73.896021173377 18.4329495180821,73.8786893845886 18.4231322738773,73.8664731753326 18.4228613905203))",Area 1
"POLYGON ((73.9417309981244 18.4226474501603,73.944297135516 18.4179483380534,73.9532104545937 18.4113803718725,73.9722672165336 18.4078725444013,73.9725999656931 18.4079149527797,73.972857210867 18.4079842413518,73.9731304981024 18.4081163312057,73.9733448197761 18.4082182957807,73.9777593708366 18.4135164053464,73.9764507878383 18.4265512196077,73.9470012691129 18.4259594151425,73.9417309981244 18.4226474501603))",Area 2
"POLYGON ((73.8936220675517 18.3628667738666,73.896569448391 18.3598858196325,73.8967995411913 18.3597006498958,73.9019264858965 18.3578101859629,73.9108192495018 18.3656659305433,73.9140136670174 18.3749264840284,73.8957427611254 18.3811054824876,73.8936220675517 18.3628667738666))",Area 3
"POLYGON ((74.0277584168116 18.309295045962,74.0281325839364 18.3004657183608,74.0397240980343 18.3019094341283,74.0481947231129 18.3087398681655,74.0449902913893 18.3153030064534,74.0377201452624 18.3170053866127,74.0277584168116 18.309295045962))",Area 4
"POLYGON ((74.0798086362732 18.4195417081615,74.0795164043637 18.407013439257,74.0957301263019 18.407769423741,74.1008187576276 18.4165445871097,74.1011428144696 18.4224592696303,74.098820481341 18.428714012729,74.0912323439129 18.4359507928954,74.0798086362732 18.4195417081615))",Area 5
"POLYGON ((73.7383404719748 18.3231138340508,73.7265603462329 18.325145528703,73.7235426747565 18.3217042138552,73.7233621221762 18.3209904311446,73.7223829590062 18.3150680294322,73.7232325761719 18.3097929917528,73.7238058045539 18.3086482944149,73.7260477361309 18.3056207587504,73.733148080666 18.3002863909075,73.733537877108 18.2999140390474,73.7425352014937 18.294793274578,73.7539240446303 18.2899325726353,73.755158628808 18.289675902691,73.7658324667276 18.2909538924217,73.7661266359448 18.2909775887262,73.7737271238784 18.2979543528273,73.7725986196464 18.304962908562,73.765056143624 18.3228251690851,73.7398313875229 18.3122701820155,73.7383404719748 18.3231138340508))",Area 6
"POLYGON ((73.9070258152789 18.0703449892763,73.9063102665205 18.0532368345373,73.9095743464131 18.0509745658329,73.923813161646 18.0435362986879,73.9251476061304 18.0435478630362,73.9305317898834 18.0429367543777,73.9568882031794 18.0379853779578,73.9595312420504 18.038577722154,73.9754888505116 18.0421252699145,73.9763820304261 18.0440226562533,73.9827934587613 18.0662331173279,73.9611104400867 18.0892928324934,73.935161952656 18.0867831846572,73.9182402582033 18.0913318062969,73.9070258152789 18.0703449892763))",Area 7
"POLYGON ((74.1404971592257 17.9770118643148,74.152378679696 17.9166649460622,74.2515551705395 17.8796471511801,74.3393398397533 17.9287385754539,74.3291959480954 17.988196427,74.2917632378158 18.0052179016014,74.2272413712054 18.0074197084757,74.1404971592257 17.9770118643148))",Area 8
